       $\alpha$=0\n$\beta$=130  $\alpha$=1\n$\beta$=255  \
count              9596.000000              9455.000000   
mean                 30.764902                70.652776   
std                  86.133501               184.397805   
min                  -2.000000                -7.000000   
25%                   1.000000                 0.000000   
50%                   2.000000                 2.000000   
75%                   4.000000                 6.000000   
max                 793.000000              1538.000000   

       $\alpha$=2\n$\beta$=380  $\alpha$=3\n$\beta$=505  \
count              9696.000000              9635.000000   
mean                 87.450186               141.504203   
std                 253.324989               374.844382   
min                 -12.000000               -17.000000   
25%                  -2.000000                -2.000000   
50%                   2.000000                 2.000000   
75%                   7.000000                10.000000   
max                2281.000000              3085.000000   

       $\alpha$=4\n$\beta$=630  $\alpha$=5\n$\beta$=755  
count              9326.000000              9710.000000  
mean                106.164379               197.783625  
std                 361.343292               537.379550  
min                 -21.000000               -27.000000  
25%                  -6.000000                -7.000000  
50%                   0.000000                 2.000000  
75%                   8.000000                14.000000  
max                5055.000000              6063.000000  
