       $\alpha$=0\n$\beta$=130  $\alpha$=1\n$\beta$=255  \
count              9664.000000              9699.000000   
mean                 28.528249                54.813177   
std                  81.547008               163.249395   
min                  -2.000000                -6.000000   
25%                   1.000000                -1.000000   
50%                   2.000000                 1.000000   
75%                   4.000000                 5.000000   
max                 532.000000              1544.000000   

       $\alpha$=2\n$\beta$=380  $\alpha$=3\n$\beta$=505  \
count              9423.000000              9706.000000   
mean                 99.673246               171.000927   
std                 269.487040               407.117565   
min                 -11.000000               -17.000000   
25%                  -1.000000                -3.000000   
50%                   2.000000                 2.000000   
75%                   9.000000                13.000000   
max                2321.000000              3054.000000   

       $\alpha$=4\n$\beta$=630  $\alpha$=5\n$\beta$=755  
count              9611.000000              9616.000000  
mean                172.130163               170.249168  
std                 458.251399               500.540495  
min                 -22.000000               -27.000000  
25%                  -6.000000                -4.000000  
50%                   2.000000                 2.000000  
75%                  12.000000                14.000000  
max                3816.000000              4573.000000  
