       $\alpha$=0\n$\beta$=130  $\alpha$=1\n$\beta$=255  \
count             19260.000000             19154.000000   
mean                 29.642627                62.632087   
std                  83.868797               174.185990   
min                  -2.000000                -7.000000   
25%                   1.000000                 0.000000   
50%                   2.000000                 2.000000   
75%                   4.000000                 5.000000   
max                 793.000000              1544.000000   

       $\alpha$=2\n$\beta$=380  $\alpha$=3\n$\beta$=505  \
count             19119.000000             19341.000000   
mean                 93.474450               156.306706   
std                 261.480105               391.640702   
min                 -12.000000               -17.000000   
25%                  -2.000000                -2.000000   
50%                   2.000000                 2.000000   
75%                   8.000000                11.000000   
max                2321.000000              3085.000000   

       $\alpha$=4\n$\beta$=630  $\alpha$=5\n$\beta$=755  
count             18937.000000             19326.000000  
mean                139.643661               184.083359  
std                 414.678252               519.545345  
min                 -22.000000               -27.000000  
25%                  -6.000000                -5.000000  
50%                   1.000000                 2.000000  
75%                  10.000000                14.000000  
max                5055.000000              6063.000000  
