       $\alpha$=0\n$\beta$=130  $\alpha$=1\n$\beta$=255  \
count              7016.000000              5865.000000   
mean                 37.050884                81.063598   
std                  92.445471               196.234258   
min                  -2.000000                -7.000000   
25%                   1.000000                -1.000000   
50%                   3.000000                 2.000000   
75%                   5.000000                 7.000000   
max                 541.000000              1538.000000   

       $\alpha$=2\n$\beta$=380  $\alpha$=3\n$\beta$=505  \
count              7256.000000              6529.000000   
mean                112.356670               176.714045   
std                 284.434404               416.380223   
min                 -12.000000               -17.000000   
25%                  -3.000000                -5.000000   
50%                   1.000000                 0.000000   
75%                   9.000000                11.000000   
max                2286.000000              3051.000000   

       $\alpha$=4\n$\beta$=630  $\alpha$=5\n$\beta$=755  
count              7253.000000              6182.000000  
mean                174.237143               219.739566  
std                 454.472644               568.626361  
min                 -22.000000               -27.000000  
25%                  -7.000000                -9.000000  
50%                  -1.000000                -2.000000  
75%                   8.000000                11.000000  
max                3790.000000              6063.000000  
